pid,fnm,lnm,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,ta2t,ta2x,ta2y,ta2z,at1t,at1x,at1y,at1z,at2t,at2x,at2y,at2z,lr1t,lr1x,lr1y,lr1z,lr2t,lr2x,lr2y,lr2z,rl1t,rl1x,rl1y,rl1z,rl2t,rl2x,rl2y,rl2z,pl,spl,plr
202695,Kawhi,Leonard,79,481,0.248626863,0.258774409,3.280705755,0.429,-0.202267168,0.014461682,8.423233378,12.26663791,-4.670292237,-0.36170805,11.33701651,Inf,NA,NA,NA,NA,15.87939883,0.227,-0.040134534,0.235545877,5.772627951,0.128,-0.227583831,0.394342106,4.342672759,NA,NA,NA,NA,0.299,0.074536052,0.11124,6.857884523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,-0.220623388,0.398621139,4.18009288,NA,NA,NA,NA,5.363928337,5.168034877,1.037904825
201943,Brandon,Jennings,73,479,-5.76E-04,-0.363549435,2.798150562,0.379,0.004559905,0.002823963,8.061563228,13.62267101,-7.252568332,-0.296453808,11.52777226,4.49828709,0.309,0.244969806,-0.067109702,7.532998884,24.15112757,0.117,-0.703291941,-0.655267868,4.730934795,0.13,-0.713678115,-0.657961303,5.043027247,NA,NA,NA,NA,0.314,0.246428197,-0.056081946,7.555630927,NA,NA,NA,NA,0.127,-0.712989445,-0.658184581,4.971570451,NA,NA,NA,NA,0.369,0.07286768,0.00436592,7.950352721,NA,NA,NA,NA,5.860170418,5.276150939,1.110690442
2590,Mo,Williams,73,477,-0.28769943,0.155924314,3.116628305,0.384,-6.57E-05,-0.013317942,7.760719498,15.30754761,-8.781302501,-0.338484664,12.53376114,7.946892244,0.303,0.405214549,0.035362304,6.960493189,18.41324608,0.117,-0.444006196,0.367966896,4.726121321,0.066,-0.634509199,0.387355857,3.870937683,NA,NA,NA,NA,0.288,0.415279101,0.052395436,6.840236979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,-0.60924457,0.398743869,4.124856643,NA,NA,NA,NA,5.108782208,4.656066913,1.097231269
101114,Deron,Williams,75,476,0.677624978,0.538517354,2.763548659,0.468,-0.023540725,-0.02614587,8.131003765,13.8301401,-8.1082267,-0.254204077,11.20110777,7.643597232,0.396,0.395403783,0.010506067,7.460531798,20.37016209,0.197,-0.123882526,0.551941091,4.979931264,0.151,-0.272437665,0.659127669,4.114845673,NA,NA,NA,NA,0.345,0.489620526,0.076184559,7.024471245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134,-0.244091367,0.666885464,3.856940159,NA,NA,NA,NA,6.175549464,5.442430727,1.134704284
200794,Paul,Millsap,79,473,-0.559208569,0.813665434,3.868308339,0.451,-0.00652589,0.013354786,7.935435691,12.75123198,-6.679187499,-1.459063069,10.76352667,4.65888915,0.261,0.269497139,0.350000476,6.624305355,16.0751701,0.099,-0.858077366,0.901745321,5.083130094,0.078,-0.888000174,0.93235119,4.756175567,NA,NA,NA,NA,0.332,0.435891203,0.191748002,6.980040505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,-0.881694283,0.93528369,4.62918049,NA,NA,NA,NA,4.868675126,4.18180346,1.164252499
203095,Evan,Fournier,79,472,0.510881778,-0.149292571,3.135243208,0.399,-0.079042272,0.005379343,7.923513411,14.48387599,-5.668859822,-0.130579918,13.32777704,13.12757018,0.365,0.076609113,0.013459031,7.474789152,17.84428485,0.207,0.140143359,0.07579311,5.109510198,0.133,0.071137467,0.054631241,3.875687636,NA,NA,NA,NA,0.28,0.20740482,0.053877963,6.324942186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203,0.134549632,0.075863023,5.038141627,NA,NA,NA,NA,5.180170979,4.82695197,1.073176409
101145,Monta,Ellis,75,466,-0.112221152,-0.508387228,3.083017319,0.467,-0.002389662,-0.013209041,8.178960297,14.33582462,-8.547021697,0.490995954,11.49883518,7.671182378,0.392,0.401871608,-0.068581742,7.492595779,17.75908814,0.189,-0.427730478,-0.073259522,5.084763086,0.13,-0.700324624,-0.137928201,4.1026616,NA,NA,NA,NA,0.352,0.443870677,-0.093836732,7.169091516,NA,NA,NA,NA,0.337,0.434907227,-0.095803953,7.0309433,NA,NA,NA,NA,0.221,-0.155126576,-0.067207632,5.63971005,NA,NA,NA,NA,5.808509463,5.121122849,1.134225762
201571,D.J.,Augustin,71,465,-0.209281087,0.193687184,2.853922089,0.391,-0.051187118,0.002314465,7.630568151,14.89502197,-7.80823201,0.042092387,12.68429819,8.858770785,0.323,0.29665748,0.004188693,6.930674544,18.29884909,0.128,-0.343634665,0.380237281,4.445632758,0.074,-0.50973319,0.379622412,3.536289983,NA,NA,NA,NA,0.286,0.342073746,0.02946873,6.588737035,NA,NA,NA,NA,0.35,0.202072027,6.42E-04,7.176418693,NA,NA,NA,NA,0.1,-0.464491127,0.397467545,3.944114368,NA,NA,NA,NA,5.143401992,4.783091554,1.075330032
201609,Goran,Dragic,75,464,-0.33979655,-0.525853938,2.724274299,0.397,-0.160444033,0.00927211,7.628321572,14.43813894,-4.116388254,1.206427105,13.78621549,12.65863854,0.333,-0.054957521,-0.108947361,6.793582388,17.95830191,0.197,-0.450757506,-0.54465307,4.750083989,0.108,-0.664346261,-0.732751577,3.3032071,NA,NA,NA,NA,0.342,-0.052811741,-0.087787548,6.90758649,NA,NA,NA,NA,0.103,-0.66321599,-0.733435448,3.240714099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.264490667,4.936416399,1.066460007
203506,Victor,Oladipo,76,458,-0.286090765,0.29523971,3.177979391,0.394,-0.006690984,-0.013181106,8.326564331,13.09164656,-7.799557308,-0.256130584,10.51154187,4.866360382,0.317,0.42252456,0.026907798,7.767189172,23.93323231,0.114,-0.427397967,0.589967017,5.236768399,0.065,-0.646281985,0.589256558,4.155432844,NA,NA,NA,NA,0.273,0.4960095,0.093355571,7.51652629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,-0.589941537,0.611089132,4.627575928,NA,NA,NA,NA,5.724677067,5.165376512,1.108278758
